Time,Direction 1,Direction 2,Direction 3,Direction 4,Direction 5,Direction 6,Direction 7,Direction 8,Direction 9,Direction 10,Direction 11,Direction 12,Direction 13,Direction 14
9:06,,,,,,,,,,,,,,
9:07,,,,,,,,,,,,,,
9:08,,,,,,,,,,,,,,1
9:09,,,,,,,,,,,,,,
9:10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9:11,,,,,,,,,,,,,,
9:12,,,,,,,,,,,,,,
9:13,,,,,,,,,,,,,,
9:14,,,,,,,,,,,,,,1
9:15,,,,,,,,,,,,,,
9:21,,,,,,,,,,,,,,
9:22,,,,,,,,,,,,,,
9:23,,,,,,,,,,,,,,1
9:24,,,,,,,,,,,,,,
9:25,,,,,,,,,,,,,,
9:26,,,,,,,,,,,,,,
9:27,,,,,,,,,,,,,,
9:28,,,,,,,,,,,,,,
9:29,,,,,,,,,,,,,,
9:30,,,,,,,,,,,,,,1
9:36,,,,,,,,,,,,,,
9:37,,,,,,,,,,,,,,
9:38,1,,,,,,,,,,,,,1
9:39,,,,,,,,,,,,,,
9:40,,,,,,,,,,,,,,
9:41,,,,,,,,,,,,,,1
9:42,,,,,,,,,,,,,,
9:43,,,,,,,,,,,,,,
9:44,,,,,,,,,,,,,,
9:45,1,,,,,,,,,,,,,
9:51,,,,,,,,,,,,,,
9:52,,,,,,,,,,,,,,
9:53,,,,,,,,,,,,,,
9:54,,,,,,,,,,,,,,1
9:55,,,,,,,,,,,,,,
9:56,,,,,,,,,,,,,,
9:57,,,,,,,,,,,,,,
9:58,1,,,,,,,,,,,,,
9:59,,,,,,,,,,,,,,
10:00,,,,,,,,,,,,,,1
