Time,Direction 1,Direction 2,Direction 3,Direction 4,Direction 5,Direction 6,Direction 7,Direction 8,Direction 9,Direction 10,Direction 11,Direction 12,Direction 13,Direction 14
10:06,,,,,,1,,,,,,1,3,
10:07,,,,,,10,,,,,,1,6,
10:08,,,,,,5,,,,,,,,
10:09,,,,,,5,1,,,,,,,
10:10,,,,,,2,,1,,,,,,
10:11,,,,1,,6,,,,1,,,2,
10:12,,,,,,2,1,,,,,,,
10:13,,,,,,4,,,,,,,,
10:14,,,,,,9,,,,,,,7,
10:15,,,,,,7,,,,,,,,
10:21,,,,,,5,,,,,,,6,
10:22,,,,,1,2,,,,,,,8,
10:23,,,1,,,8,,1,,,,,3,
10:24,1,,,,,11,,,,,2,,6,
10:25,,,,,,4,2,,,,,,,
10:26,,,,,,,,,,,,,,
10:27,,,,,,5,1,,,,,,8,
10:28,,,,,,5,,,,1,,,,
10:29,,,,,,8,,,,,,,5,
10:30,,,,,,5,,,,,2,,3,
10:36,,,,,,,,,,,,,6,
10:37,,,1,,,9,,,,,,,6,
10:38,,,,,,5,,,,1,1,,5,
10:39,,,,1,,12,,2,,,,1,,
10:40,,,,,,4,,,,,,,,
10:41,,,,,,4,,,,,,,3,
10:42,,,,1,,9,,,,,,,10,
10:43,1,,,,,,,,,1,,,,
10:44,,,,,,9,,,,,,,,
10:45,,,,1,,4,1,,,,,,,1
10:51,,,,,,4,,,,,,1,9,
10:52,,1,,,,10,,,,,,,9,
10:53,,,,,,3,,,1,,,,6,
10:54,,,,,,11,2,,,,,,,
10:55,,,,,1,5,,,,,,,4,
10:56,,,,,,12,2,,2,3,,,,
10:57,,,,,,2,,,,,,,7,
10:58,1,,,,,5,,1,,,,,,
10:59,,,,,1,5,,,,,,,,
11:00,,,,,,1,,,,,,,5,
