Time,Direction 1,Direction 2,Direction 3,Direction 4,Direction 5,Direction 6,Direction 7,Direction 8,Direction 9,Direction 10,Direction 11,Direction 12,Direction 13,Direction 14,
18:01,,,,,,9,,,1,,,,2 Buses,,
18:02,,,,,,1,,,,,,,6,,
18:03,,,,,,7,,,,,,,15,,
18:04,,,,,,2,1,,,,,,1,,
18:05,,,,,,5,,3,,,,,15,,
18:06,,,,,,6,,,,,,,8,,
18:07,,,,,,4,,,,,,,4,,
18:08,1,,,,,5,1,,,,,,,,
18:09,,,,1,,10,,,,,,,12,,
18:10,,,,,,6,1,,,,,,,,
18:16,,,,1,,2,,1,,1,,,17,,
18:17,,,,1,,7,,,,,,,,,
18:18,,,,,,13,1,1,,,,,,,
18:19,,,,,1,7,,,,,,,8,,
18:20,,,,,,17,,,,1,,,2,,
18:21,,,,,,9,,1,,,,,,,
18:22,,,,,,6,1,,,,,,8,,
18:23,,,,,,2,,,,,,,6,,
18:24,,,,1,,15,,,,,,,6,,
18:25,,,,,,6,,1,,,,,,,
18:31,,,,,,3,,,,,,,12,,
18:32,,,,,,7,1,1,,1,,,10,,
18:33,,,,,,5,,,,,,,,,
18:34,,,,,,7,,,,,,,19,,
18:35,,,,,,3,,,1,,1,,,,
18:36,,,,,,11,,,,,,,,,
18:37,,,,,,1,,,,,,,,,
18:38,,,,,,7,,,,,,,3,,
18:39,,,,,,8,,,,1,,,,,
18:40,,,,,,12,,,,,,,,,
18:46,,,,,,,,,,,,,6,,
18:47,,,,,,16,,,,,,,10,,
18:48,,,,,,10,,,,,,,,,
18:49,,,,,,5,,,,,,,6,,
18:50,,,,,,13,,,,,,,6,,
18:51,,,,,,2,1,1,,,,,4,,
18:52,,,,1,,3,,,,,,,4,,
18:53,,,,,,5,,,,,,,,,
18:54,,,,,,7,,,,,,,9,,
18:55,,,,,,4,,,,,,,,,
