Time,Direction 1,Direction 2,Direction 3,Direction 4,Direction 5,Direction 6,Direction 7,Direction 8,Direction 9,Direction 10,Direction 11,Direction 12,Direction 13,Direction 14,
18:01,,,,,,,,,,,,,,,
18:02,,,,,,,,,,,,,,,
18:03,,,,,,,,,,,,,,,
18:04,1 Tram,,,,,,,,,,,,,,
18:05,,,,,,,,,,,,,,,
18:06,,,,,,,,,,,,,,1 Tram,
18:07,,,,,,,,,,,,,,,
18:08,,,,,,,,,,,,,,,
18:09,1 Tram,,,,,,,,,,,,,,
18:10,,,,,,,,,,,,,,,
18:16,,,,,,,,,,,,,,,
18:17,,,,,,,,,,,,,,,
18:18,,,,,,,,,,,,,,,
18:19,,,,,,,,,,,,,,,
18:20,,,,,,,,,,,,,,,
18:21,1 Tram,,,,,,,,,,,,,,
18:22,,,,,,,,,,,,,,,
18:23,,,,,,,,,,,,,,,
18:24,,,,,,,,,,,,,,1 Tram,
18:25,,,,,,,,,,,,,,,
18:31,,,,,,,,,,,,,,1 Tram,
18:32,,,,,,,,,,,,,,,
18:33,,,,,,,,,,,,,,,
18:34,,,,,,,,,,,,,,,
18:35,,,,,,,,,,,,,,,
18:36,,,,,,,,,,,,,,,
18:37,,,,,,,,,,,,,,,
18:38,,,,,,,,,,,,,,1 Tram,
18:39,1 Tram,,,,,,,,,,,,,,
18:40,,,,,,,,,,,,,,,
18:46,,,,,,,,,,,,,,,
18:47,,,,,,,,,,,,,,,
18:48,,,,,,,,,,,,,,1 Tram,
18:49,,,,,,,,,,,,,,,
18:50,,,,,,,,,,,,,,,
18:51,,,,,,,,,,,,,,,
18:52,,,,,,,,,,,,,,,
18:53,1 Tram,,,,,,,,,,,,,1 Tram,
18:54,,,,,,,,,,,,,,,
18:55,,,,,,,,,,,,,,,
