Time,Direction 1,Direction 2,Direction 3,Direction 4,Direction 5,Direction 6,Direction 7,Direction 8,Direction 9,Direction 10,Direction 11,Direction 12,Direction 13,Direction 14
9:01,1,,1,,,,,,,,,,,
9:02,,,,,,1,,,,,,,,
9:03,,,,,,,,,,,,,,
9:04,,,,,1,,,,,,,,,1
9:05,,,,,,,,,,,,,,
9:06,,,,,,,,,,,,,,
9:07,,,1,,,,,,,,,,,
9:08,,,,,,,,,,,,,,
9:09,,,,,,,,,,,,,,
9:10,,,,,,,,,,,,,,
9:16,,,,,,,,,,,,,,1
9:17,,,,,,,,,,,,,,
9:18,,,,,,,,,,,,,,
9:19,,,,,1,,,,,,,,,
9:20,,,,,,,,,,,,,,
9:21,,,,,,,,,,,,,,
9:22,,,2,,,,,,,,,,,
9:23,,,,,,,,,,,,,1,
9:24,,,,,,,,,,,,,,
9:25,,,,,1,,,,,,,,,
9:31,,,,,,1,,,,,,,,
9:32,,,,,,,,,,,,,,
9:33,1,,,,,,,,,,,,,
9:34,,,,,1,,,,,,,,,
9:35,,,,,,,,,,,,,,
9:36,,,,,,,,,,,,,,1
9:37,,,,,,,,,,,,,,
9:38,,,,,,,,,,,,,,
9:39,,,,,,,,,,,,,,
9:40,,,2,,,,,,,,,,,
9:46,,,,,,,,,,,,,,1
9:47,,,,,,,,,,,,,,
9:48,,,,,,,,,,,,,,
9:49,1,,,,,,,,,,,,,
9:50,,,,,,,,,,,,,,
9:51,,,,,,,,,,,,,,
9:52,,,,,,,,,,,,,,
9:53,,,,1,1,,,,,,,,,1
9:54,,,,,,,,,,,,,,
9:55,,,2,,,,,,,,,,,
